flashcard_id,word,meaning,word_type,example_sentence
d2359d73-7852-4ec9-a0cc-212cbc6d830b,を,particle used to indicate the direct object of a verb,,
68efb2aa-4625-4058-bf71-1982d06aeed1,会う,"to meet, to see",,
a026df7d-f687-44e6-bd4b-572a7fc5d7be,かける,"to dial/call (e.g., phone); to hang (something) up; to sit down",,
4bc4d821-365b-40e7-aed0-34a4ec39c0e6,違う,to be different; to differ; to be wrong,,
e7e6b3fb-2442-447a-9731-934afd68b10a,大勢,a large number of people,,
84be49b6-5c23-4304-af31-2c3281a1fb89,電気,"electricity, electric light",,
bef65e07-dd1c-4949-8353-933850f730d3,あの,that over there; um...,,
5c68cd3d-f622-4381-a036-0316fcc1168f,廊下,a long passage or hallway in a building,,
0ce57d90-90a9-4727-99f9-935ed3582b72,上着,"coat, jacket",,
4fd7ba15-6222-4fe1-95ea-2eebbc8ff4cf,シャワー,shower,,
77e38f5b-ffb6-4840-8ee2-d3f6a4e92692,どんな,what kind of,,
1b9998cb-229b-4061-a0cf-9e4cdbb29fa0,ズボン,trousers,,
ac120e70-c648-4465-ad1e-09905723eb3d,物,thing (concrete object),,
1ff3bd2e-815a-4222-a1bc-521d6b2045b9,があります,there is; there are (for non-living things),,
4ad3d951-a68b-403f-9a9c-ae5ae49a26cd,重い,heavy; serious,,
f3d63637-79a4-446a-95e3-c930d4ea3e88,緑,green,,
4d316519-67aa-46a3-8ccd-1ae14949d9af,寒い,cold (in reference to weather),,
d56d35ea-1a49-4fa8-9733-c9ce353a3117,フィルム,フィルムは写真を撮るためのロールです。,,
ea4334d6-0c10-4b18-aacb-202ceef0bda5,台所,kitchen,,
a4d3dd31-8512-419d-8ed3-7b86515fabc9,楽しい,"enjoyable, fun",,
5e5141c5-9a28-4a7f-a17f-83805c4e72e1,コート,コートは、外で着る服の一種です。また、テニスなどのスポーツをする場所を指すこともあります。,,
e90690a5-7175-4062-b334-09e817d34a18,ベッド,bed,,
b7b21a85-51d2-4f4a-af8e-aef2f4dff810,大変,"very; difficult, hard",,
01b74774-6311-477a-9485-a72c11fbd752,長い,"long, lengthy",,
700c76df-aded-447f-97bb-560a1e989eff,川,river,,
590d1246-a893-493b-b93d-0eb4e0c75d27,嫌,"disagreeable, unpleasant",,
8f5f4b97-fd8a-4c6d-b3c1-8943dac02bb5,汚い,"dirty, unclean, filthy",,
ce50e468-efbb-4fd8-92a9-3577700cdc1b,難しい,difficult,,
4f013eef-9d0d-410d-a2e7-992c67f2a9a7,女,"woman, female",,
af1c0696-5afe-4f05-a325-8ca711b918b4,雨,rain,,
1a51d9fa-5942-4fcf-a89c-20e40e8565aa,こんな,"such, like this",,
fe2382eb-8ec5-4b95-ba15-53a7d3030e09,自転車,bicycle,,
2b80638b-9dcf-40e6-a048-c58b672d424f,カップ,a cup,,
77732b54-b932-4a39-920e-e0dbb62ed183,易しい,"easy, simple",,
298aeb68-d91e-4926-8b8b-9404fb327153,曇り,"cloudiness, cloudy weather",,
3f5818d3-8db7-4e4f-9d6e-feb77fc8a390,丁度,"just, right, exactly",,
21b67a2f-f28c-4c65-9736-1b93db9976ff,細い,"thin, slender, fine",,
bfca3dfe-68f7-4aca-b2cb-181ad4f5894a,顔,face (the front part of the head),,
f4b18f6e-f6df-4dab-b40a-80856aa0dd6f,面白い,"interesting, fun",,
cb1286cf-fba4-46a4-b728-2581ca255447,問題,a problem,,
6d2fd9a7-fe23-48ef-a285-d77f95342f7f,涼しい,"cool, refreshing (especially in reference to weather)",,
e4e6ef8e-55cb-4a59-9031-2d61787d68fc,先,the future; the previous part,,
e3fda17b-d347-4c03-94bb-621e4667c155,白い,white,,
9626cfd2-89e6-48f5-8efb-136f5a8340fa,悪い,bad; not good,,
fed9bae4-6faf-4117-8ecf-053167f02ae8,茶色,brown,,
6bce94e7-3861-48cd-86df-dfcd2af17718,黄色,yellow,,
de719c63-0a31-4aa3-ba16-33f3aaabd61e,冷蔵庫,refrigerator,,
5b0187e6-6664-4fb5-955b-4de7617bfe70,映画,"movie, film",,
d3d293b6-d72d-4dd1-ad7b-72c416c72029,薄い,"thin, weak",,
1c57a6fd-9ae5-448b-9088-17a0e06a92a8,門,gate,,
817a2ef7-6ba4-4e86-9fc0-c6e89ee39ffe,黒い,black; dark,,
5a656a57-8270-48f8-9833-6585b086ba1f,山,mountain,,
a228d6b1-2202-4864-ba0f-64464e1a7392,歌,a song,,
884d51b1-eb89-42f3-92ec-a49e05510e9c,な-adjectives,な形容詞 (na-adjectives) are adjectives that require 'な' when modifying nouns.,,
91c5767a-6bcd-4bbb-8728-29ba86d118c0,春,spring,,
7d0050a1-d58b-462e-a3fd-47dfc6bb1589,晴れ,clear (sunny) weather,,
90cd9831-2741-4bc6-b0d8-919bf54cbd2d,大好き,to like very much; to love,,
f630d364-69ac-46de-9c49-0b64e2dcc129,美味しい,"delicious, tasty",,
03e52abb-9f24-4856-bee0-d17c58a14a30,その,that (used before a noun),,
20cb0e5c-e41c-420b-9ee4-b4488663b1e5,呼ぶ,to call (someone's name); to invite,,
0fec3e0a-8194-44db-bfb7-a9ff6926ff12,聞く,"to hear, to listen, to ask",,
ddc6519a-1b15-48a2-86ef-6f8aeed1661a,散歩,"walk, stroll",,
861078e5-5f25-447d-9aee-cccf3be4c3f0,並ぶ,"to line up, to stand in a line",,
3f9c59b1-611e-4d24-a34c-0ea7534194a7,一緒に,together,,
0d8823f4-4dbc-4d01-83cc-57535c288d83,一緒,together,,
7ccf0494-54e9-4f1c-bff1-de6b2a7ce261,まだ,"yet, still",,
7789367f-fa85-48ec-a66d-731081b1052d,並べる,to put (things) side by side; to line up,,
d0a6f578-b6c8-4673-b545-8725743bb899,時々,sometimes,,
4db90ea9-e769-4405-a984-23441d0c19f1,見せる,"to show, to display",,
2ca79bca-478a-4201-9034-61035076accf,降る,"to fall (e.g., rain, snow, etc.)",,
cb5aa400-4076-47ac-9701-db0fdb841293,いつも,always; usually; habitually,,
7596f227-e76d-47c0-b8fd-22a6a96d7239,中,"during, while ~ing",,
e6abe0cc-3377-43a4-ba84-bbd34e9c1e52,たい,to want to do something,,
a9a349f1-7243-4413-8b00-41792c447285,困る,"to be troubled, to have difficulty",,
2b6f5457-0d3a-4354-b29d-4bff90855bf9,弾く,to play (a string instrument or piano),,
314bdff3-bf6f-4447-8880-03c546ef6c81,渡す,to hand (something) over; to pass (something),,
8e4ee19a-972f-44c9-9ee2-48ab57bfb835,てから,after doing~,,
1345c5f2-a649-4a94-a2a2-3e581c47ddc6,降りる,to get off,,
41329c0f-897f-4965-af59-ed844d7e0254,すぐに,"immediately, soon",,
a75e34e0-4341-465f-8979-fd1904b3e474,遊ぶ,to play; to have fun,,
fefd7157-a7c6-4dfc-9a24-b2cc6a28bf12,できる,to be able to (to accomplish),,
3f4bae41-3d04-474e-b17c-86875dc4eaf2,登る,to climb,,
8650b718-c133-43ad-9555-efd4cdd93648,いつも,"always, usually, every time",,
4d30f3d6-8490-4484-a90a-3ea72208d051,咲く,to bloom,,
8e48446e-fa6f-4fc4-9edd-baa25549f303,飛ぶ,"to fly, to hop",,
338e7785-09cb-4d7b-89b7-a42132601e35,掃除,"cleaning, sweeping",,
32345fca-b07d-49e0-b200-bacb68af58eb,二日,two days; the second day of the month,,
017235eb-7614-4d6b-b79c-76b647685a25,ている,indicates an ongoing action or current state,,
06c2ba22-a11c-4b88-922c-20820fe5da3b,～中,"during, while",,
93f0a512-976d-41de-acb2-4daf34b105af,暇,"free time, leisure",,
4a664a33-fdc8-4134-b50c-132d39d89f52,差す,"to raise (stretch out) hands, to hold up (e.g., an umbrella)",,
041dc74a-d19c-4f97-b03e-6272794005b0,曲る,"to turn, to bend",,
cbcf544a-6b7e-47bf-9031-6ce42b6de976,スポーツ,スポーツは体を動かす活動です。,,
58f6afcc-50a8-4f29-9b59-6132f855d049,渡る,"to cross over, to go across",,
fd0cfe14-e13d-41a0-897f-26ee5e35e790,浴びる,"to bathe, to shower",,
75d58f6a-3221-4ba8-9a2b-917cecd61887,忘れる,to forget,,
5f888cd6-2526-4180-86da-db6338023439,出る,"to go out, to leave, to appear",,
1b651c25-1f82-4f09-80a6-1437a64d0438,締める,"to tie, to fasten, to tighten",,
0c8c7bf3-cc73-4789-bad8-d70feec32cb5,分かる,to understand,,
8e363f18-c36f-4828-a725-572dc52149ec,地図,a map,,
3bb6041f-3f45-412c-adab-f08618bb72df,のが好き,to like doing something,,
1f8c6e81-887b-4cbe-8b87-29f861afde6e,撮る,"to take (a photo), to shoot (a film)",,
ad5c8143-c10f-4595-ad03-a92c0a3d92cd,疲れる,to get tired; to become fatigued,,
