JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,秋,あき,Noun,Autumn is a very beautiful season.,"{""vocabulary"": [{""word"": ""秋"", ""reading"": ""あき"", ""meaning"": ""autumn"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""とても"", ""reading"": ""とても"", ""meaning"": ""very"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""美しい"", ""reading"": ""うつくしい"", ""meaning"": ""beautiful"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""季節"", ""reading"": ""きせつ"", ""meaning"": ""season"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the season of autumn, emphasizing its beauty. It presents a simple statement about the characteristics of autumn."", ""steps"": [""**秋** - Refers to the season of autumn, which is the topic of the sentence."", ""**は** - Marks “秋” as the topic of discussion."", ""**とても** - An adverb that intensifies the adjective that follows, meaning “very.”"", ""**美しい** - An adjective describing the noun “季節,” indicating that autumn is beautiful."", ""**季節** - The noun that is being described, meaning “season.”"", ""**です** - A copula used to end the sentence politely, indicating that the statement is a fact.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adverb] + [Adjective] + [Noun] + [です]\n- **Kanji**: 彼は優しい先生です。\n- **Hiragana**: かれはやさしいせんせいです。\n- **English Translation**: He is a kind teacher."", ""sentence_pattern_kanji"": ""彼は優しい先生です。"", ""sentence_pattern_hiragana"": ""かれはやさしいせんせいです。"", ""sentence_pattern_english"": ""He is a kind teacher."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to focus on what the sentence is about. In this case, it highlights autumn as the subject being described."", ""common_mistake"": ""Beginners might confuse the use of です with other verbs. Remember that です is used to link the subject with a description or state of being, similar to the verb \""to be\"" in English."", ""alternative_expression"": {""kanji"": ""秋は非常に美しい季節です。"", ""hiragana"": ""あきはひじょうにうつくしいきせつです。"", ""english"": ""Autumn is an extremely beautiful season.""}, ""new_words_in_alternative"": [{""word"": ""非常に"", ""reading"": ""ひじょうに"", ""meaning"": ""extremely"", ""description"": ""Adverb""}]}}",Vocab,12,autumn (season),,秋はとても美しい季節です。,
N5,,,もっと,もっと,Adverb (fukushi),I want to study more.,"{""vocabulary"": [{""word"": ""もっと"", ""reading"": ""もっと"", ""meaning"": ""more"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""勉強"", ""reading"": ""べんきょう"", ""meaning"": ""study"", ""role"": ""Noun/Verb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""したい"", ""reading"": ""したい"", ""meaning"": ""want to do"", ""role"": ""Verb, desire form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's desire to engage in studying more than they currently do. It conveys a wish for increased effort or time spent on studying."", ""steps"": [""**もっと** - An adverb that indicates an increase or addition, meaning \""more.\"""", ""**勉強** - A noun that means \""study,\"" which can also function as a verb in certain contexts."", ""**したい** - The desire form of the verb \""する\"" (to do), indicating the speaker's wish to perform the action of studying."", ""**です** - A polite ending particle that adds formality to the sentence.""], ""sentence_pattern"": ""- [Adverb] + [Noun/Verb] + [Verb (desire form)] + [Copula]\n- **Kanji**: もっと勉強したい。\n- **Hiragana**: もっとべんきょうしたい。\n- **English Translation**: I want to study more."", ""sentence_pattern_kanji"": ""もっと勉強したい。"", ""sentence_pattern_hiragana"": ""もっとべんきょうしたい。"", ""sentence_pattern_english"": ""I want to study more."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that もっと is used to express a desire for an increase in quantity or degree. Pairing it with 勉強 and したい clearly communicates your wish to study more."", ""common_mistake"": ""Beginners might confuse 勉強 as only a noun and forget that it can imply an action. Understanding that 勉強 can also be treated as a verb in this context is essential."", ""alternative_expression"": {""kanji"": ""もっと勉強したいと思います。"", ""hiragana"": ""もっとべんきょうしたいとおもいます。"", ""english"": ""I think I want to study more.""}, ""new_words_in_alternative"": [{""word"": ""と思います"", ""reading"": ""とおもいます"", ""meaning"": ""I think"", ""description"": ""Phrase""}]}}",Vocab,12,more,,もっと勉強したいです。,
N5,,,エレベーター,エレベーター,Noun,The elevator is on the second floor.,"{""vocabulary"": [{""word"": ""エレベーター"", ""reading"": ""えれべーたー"", ""meaning"": ""elevator"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""二階"", ""reading"": ""にかい"", ""meaning"": ""second floor"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""is (existence for inanimate objects)"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states the location of the elevator, indicating that it is situated on the second floor of a building. It provides clear information about where the elevator can be found."", ""steps"": [""**エレベーター** - Refers to the subject of the sentence, the elevator."", ""**は** - Marks “エレベーター” as the topic of the sentence."", ""**二階** - Specifies the location, meaning “second floor.”"", ""**に** - Indicates the location where the elevator exists."", ""**あります** - The polite form of the verb “ある,” indicating that the elevator exists at that location.""], ""sentence_pattern"": ""- [Topic] + [は] + [Location] + [に] + [Verb (existence)]\n- **Kanji**: 猫はテーブルの上にいます。\n- **Hiragana**: ねこはてーぶるのうえにいます。\n- **English Translation**: The cat is on the table."", ""sentence_pattern_kanji"": ""猫はテーブルの上にいます。"", ""sentence_pattern_hiragana"": ""ねこはてーぶるのうえにいます。"", ""sentence_pattern_english"": ""The cat is on the table."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify what the sentence is about. In this case, it indicates that we are talking about the elevator."", ""common_mistake"": ""Beginners often confuse に and で. Remember that に indicates a specific location where something exists, while で indicates the location of an action."", ""alternative_expression"": {""kanji"": ""エレベーターは二階にあります。"", ""hiragana"": ""えれべーたーはにかいにあります。"", ""english"": ""The elevator is located on the second floor.""}, ""new_words_in_alternative"": [{""word"": ""位置"", ""reading"": ""いち"", ""meaning"": ""location"", ""description"": ""Noun""}]}}",Vocab,12,elevator,,エレベーターは二階にあります。,
N5,,,丸い; 円い,まるい,I-adjective (keiyoushi),This table is round.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""テーブル"", ""reading"": ""てーぶる"", ""meaning"": ""table"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""丸い"", ""reading"": ""まるい"", ""meaning"": ""round"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the physical characteristic of a specific table, indicating that it has a round shape. It is a simple declarative statement."", ""steps"": [""**この** - Specifies which table is being referred to, indicating it is nearby or known to the speaker."", ""**テーブル** - The subject of the sentence, indicating what is being described."", ""**は** - Marks “テーブル” as the topic of the sentence."", ""**丸い** - Describes the shape of the table, indicating it is round."", ""**です** - A polite ending particle that functions as the verb “is,” linking the subject to its description.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: このテーブルは大きいです。\n- **Hiragana**: このてーぶるはおおきいです。\n- **English Translation**: This table is big."", ""sentence_pattern_kanji"": ""このテーブルは大きいです。"", ""sentence_pattern_hiragana"": ""このてーぶるはおおきいです。"", ""sentence_pattern_english"": ""This table is big."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but it can also indicate what the sentence is about. In this case, it highlights the table."", ""common_mistake"": ""Beginners might confuse the use of です with other verbs. Remember that です is used to link the subject with its description in a polite manner."", ""alternative_expression"": {""kanji"": ""このテーブルは円いです。"", ""hiragana"": ""このてーぶるはえんいです。"", ""english"": ""This table is circular.""}, ""new_words_in_alternative"": [{""word"": ""円い"", ""reading"": ""えんい"", ""meaning"": ""circular"", ""description"": ""Adjective""}]}}",Vocab,12,"round, circular",,このテーブルは丸いです。,
N5,,,青い,あおい,I-adjective (keiyoushi),The sky is blue.,"{""vocabulary"": [{""word"": ""空"", ""reading"": ""そら"", ""meaning"": ""sky"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""青い"", ""reading"": ""あおい"", ""meaning"": ""blue"", ""role"": ""Adjective, i-adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula/Polite ending"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the color of the sky, stating that it is blue. It is a simple declarative sentence that provides information about the subject."", ""steps"": [""**空** - Refers to the subject of the sentence, which is \""the sky.\"""", ""**は** - Marks “空” as the topic of the sentence."", ""**青い** - An i-adjective that describes the state or quality of the sky, indicating its color."", ""**です** - A polite ending that functions as the copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adjective] + [です]\n- **Kanji**: 彼は学生です。\n- **Hiragana**: かれはがくせいです。\n- **English Translation**: He is a student."", ""sentence_pattern_kanji"": ""彼は学生です。"", ""sentence_pattern_hiragana"": ""かれはがくせいです。"", ""sentence_pattern_english"": ""He is a student."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is what the sentence is about. In this case, it indicates that we are talking about the sky."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (the sky), while が is typically used to emphasize the subject or indicate new information."", ""alternative_expression"": {""kanji"": ""空は青い。"", ""hiragana"": ""そらはあおい。"", ""english"": ""The sky is blue.""}, ""new_words_in_alternative"": [{""word"": ""青い"", ""reading"": ""あおい"", ""meaning"": ""blue"", ""description"": ""Adjective, i-adjective""}]}}",Vocab,12,blue,,空は青いです。,
N5,女(おんな): woman; 女の子(おんなのこ): girl; 彼女(かのじょ): she/girlfriend,じょ,,,,,,Kanji,12,woman/female,女,,おんな
N5,,,部屋,へや,Noun,My room is clean.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""部屋"", ""reading"": ""へや"", ""meaning"": ""room"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""きれい"", ""reading"": ""きれい"", ""meaning"": ""clean"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Auxiliary verb"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a personal statement about the cleanliness of the speaker's room. It indicates that the speaker's room is in a clean condition."", ""steps"": [""**私** - Refers to the speaker, indicating ownership."", ""**の** - Indicates possession, linking \""私\"" (I) to \""部屋\"" (room)."", ""**部屋** - The noun that is being described."", ""**は** - Marks \""部屋\"" as the topic of the sentence."", ""**きれい** - An adjective describing the state of the room."", ""**です** - A polite ending that functions as a copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Subject (Possessor)] + [の] + [Noun (Possessed)] + [は] + [Adjective] + [です]\n- **Kanji**: 彼の家は大きいです。\n- **Hiragana**: かれのいえはおおきいです。\n- **English Translation**: His house is big."", ""sentence_pattern_kanji"": ""彼の家は大きいです。"", ""sentence_pattern_hiragana"": ""かれのいえはおおきいです。"", ""sentence_pattern_english"": ""His house is big."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle の indicates possession, similar to the English apostrophe-s (’s). This helps clarify who owns what in the sentence."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (the room), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私の部屋は清潔です。"", ""hiragana"": ""わたしのへやはせいけつです。"", ""english"": ""My room is tidy.""}, ""new_words_in_alternative"": []}}",Vocab,12,a room,,私の部屋はきれいです。,
N5,,,色,いろ,Noun,The sky is blue in color.,"{""vocabulary"": [{""word"": ""空"", ""reading"": ""そら"", ""meaning"": ""sky"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""青い"", ""reading"": ""あおい"", ""meaning"": ""blue"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""色"", ""reading"": ""いろ"", ""meaning"": ""color"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the color of the sky, stating that it is blue. It provides a simple observation about the sky's appearance."", ""steps"": [""**空** - Refers to the subject of the sentence, which is the sky."", ""**は** - Marks “空” as the topic of the sentence."", ""**青い** - An adjective that describes the color of the sky."", ""**色** - Specifies that the adjective is describing a color."", ""**です** - A polite ending particle that functions as a copula, linking the subject and the predicate.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adjective] + [Noun] + [です]\n- **Kanji**: 彼は学生です。\n- **Hiragana**: かれはがくせいです。\n- **English Translation**: He is a student."", ""sentence_pattern_kanji"": ""彼は学生です。"", ""sentence_pattern_hiragana"": ""かれはがくせいです。"", ""sentence_pattern_english"": ""He is a student."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject but can also be used to introduce new information. In this case, it introduces the sky as the topic being described."", ""common_mistake"": ""Beginners might confuse the use of です with other verbs. Remember that です is used to link the subject with a description or state, similar to \""is\"" in English."", ""alternative_expression"": {""kanji"": ""空は青い。"", ""hiragana"": ""そらはあおい。"", ""english"": ""The sky is blue.""}, ""new_words_in_alternative"": [{""word"": ""青い"", ""reading"": ""あおい"", ""meaning"": ""blue"", ""description"": ""Adjective""}]}}",Vocab,12,color,,空は青い色です。,
N5,,,本棚,ほんだな,Noun,There is a big bookshelf in my room.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""部屋"", ""reading"": ""へや"", ""meaning"": ""room"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""大きな"", ""reading"": ""おおきな"", ""meaning"": ""big"", ""role"": ""Adjective, attributive form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本棚"", ""reading"": ""ほんだな"", ""meaning"": ""bookshelf"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""there is"", ""role"": ""Verb, non-past form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a big bookshelf in the speaker's room. It indicates both the location and the size of the bookshelf."", ""steps"": [""**私の** - Indicates possession, meaning \""my.\"""", ""**部屋には** - \""In my room,\"" where **に** indicates the location."", ""**は** - Marks \""部屋\"" as the topic of the sentence."", ""**大きな** - Describes the bookshelf as \""big.\"""", ""**本棚** - Refers to the object, \""bookshelf.\"""", ""**が** - Marks \""本棚\"" as the subject of the existence."", ""**あります** - Indicates that the bookshelf exists in the specified location.""], ""sentence_pattern"": ""- [Possessor] + [の] + [Location] + [には] + [Adjective] + [Noun] + [が] + [Verb (non-past)]\n- **Kanji**: 彼の家には小さな庭があります。\n- **Hiragana**: かれのいえにはちいさなにわがあります。\n- **English Translation**: There is a small garden in his house."", ""sentence_pattern_kanji"": ""彼の家には小さな庭があります。"", ""sentence_pattern_hiragana"": ""かれのいえにはちいさなにわがあります。"", ""sentence_pattern_english"": ""There is a small garden in his house."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession, so 私の means \""my.\"" This structure is common in Japanese to show ownership."", ""common_mistake"": ""Beginners often confuse に and で. Use に to indicate a location where something exists, while で is used to indicate the location of an action."", ""alternative_expression"": {""kanji"": ""私の部屋に大きな本棚がある。"", ""hiragana"": ""わたしのへやにおおきなほんだながある。"", ""english"": ""There is a big bookshelf in my room.""}, ""new_words_in_alternative"": []}}",Vocab,12,a shelf for holding books; bookshelf,,私の部屋には大きな本棚があります。,
N5,,,夕方,ゆうがた,Noun,I will go to the park with my friend in the evening.,"{""vocabulary"": [{""word"": ""夕方"", ""reading"": ""ゆうがた"", ""meaning"": ""evening"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Time/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to go to the park with a friend during the evening. It sets a clear time and social context for the action."", ""steps"": [""**夕方** - Refers to the time of day, evening."", ""**に** - Indicates the time when the action will take place."", ""**友達** - Refers to the companion, the friend."", ""**と** - Indicates companionship or association."", ""**公園** - Specifies the destination, the park."", ""**に** - Indicates the destination of the action."", ""**行きます** - The polite future form of “行く,” indicating the action of going.""], ""sentence_pattern"": ""- [Time] + [に] + [Companion] + [と] + [Destination] + [に] + [Verb (polite form)]\n- **Kanji**: 明日、彼と映画に行きます。\n- **Hiragana**: あした、かれとえいがにいきます。\n- **English Translation**: I will go to the movies with him tomorrow."", ""sentence_pattern_kanji"": ""明日、彼と映画に行きます。"", ""sentence_pattern_hiragana"": ""あした、かれとえいがにいきます。"", ""sentence_pattern_english"": ""I will go to the movies with him tomorrow."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に is used for both time and destination in Japanese. Context will help you determine its meaning in each case."", ""common_mistake"": ""Beginners often confuse the use of に and へ. While both can indicate direction, に is more commonly used for specific destinations, while へ is more general."", ""alternative_expression"": {""kanji"": ""夕方に友達と公園へ行きます。"", ""hiragana"": ""ゆうがたにともだちとこうえんへいきます。"", ""english"": ""I will go to the park with my friend in the evening.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,12,"late afternoon (just before dinner time), evening",,夕方に友達と公園に行きます。,
